ʒ	h	
k m	∅ m	. _
k m	∅ m	. _
k m	∅ m	. _
k m	∅ m	. _
k	w	# _
k	w	# _
k	w	# _
g	ʃ	_ ü
g	ʃ	_ ü
g	ʃ	_ ü
a i ̝	a	
a i ̝	a	
a i ̝	a	
a i ̝	a	
a i ̝	a	
a i ̝	a	
e a	ɛ ə	
e a	ɛ ə	
t	ʃ	_ ʊ
ɱ	v	
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
k	d ̠	_ ɪ
b	ȸ ͡ v	# _ u ̝
b	ȸ ͡ v	# _ u ̝
ă u	ɑ ∅	. ∅ _ k ̚ .
b	ʃ	_ ɪ
b	ʃ	_ ɪ
b	ʃ	_ ɪ
b	ʃ	_ ɪ
b	ʃ	_ ɪ
k	kʰ	# _
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
j	ɣ	# _
ɕ	s	
e a	a a	
l	ɐ	. p _
l	ɐ	. p _
u	ʊ	
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
ɪ ă ∅ t ̚	ɪ̆ ɛ i ∅	. ∅ _ .
θ	t̠͡ʃ	
θ	t̠͡ʃ	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
e	iː	_ .
ɟ	∅	_ #
x r	∅ r	. _
